CompoundID,Product,MW,logP,PSA,ROTN,HBD,HBA,RCount,ARCount,Fsp3,HeavyAcount,Potential Hit,
14,CNC(=O)[C@H]1[C@@H](C)OC(C)(C)N1C(=O)[C@H](C)Nc1nc(N2CCCC2c2cccc(C)c2)nc(N(C)[C@@H](C)c2ccccc2)n1,614.8,4.62,115.82,9,2,11,5,3,0.5,45,no,0
15,CNC(=O)[C@H](C)Nc1nc(NC2CCC(C)CC2)nc(N2CCCC2c2cccc(C)c2)n1,451.62,4.06,95.07,7,3,8,4,2,0.6,33,no,0
16,CCN(c1nc(Nc2cc(C)nn2-c2ccc(C)cc2)nc(N[C@@H](C)C(=O)NC)n1)c1ccccc1C,499.62,4.43,112.89,9,3,10,4,4,0.3,37,no,0
32,CNC(=O)[C@H]1[C@@H](C)OC(C)(C)N1C(=O)[C@H](C)Nc1nc(Nc2ccc(C)cc2F)nc(N(C)c2cccc(Cl)c2)n1,585.08,4.38,124.61,8,3,11,4,3,0.39,41,no,0
45,CNC(=O)[C@H](C)Nc1nc(Nc2cc[nH]n2)nc(N(C)Cc2cccc(Br)c2)n1,460.34,2.28,123.75,8,4,10,3,3,0.28,29,no,0
48,CNC(=O)[C@H]1[C@@H](C)OC(C)(C)N1C(=O)[C@H](C)Nc1nc(NCCc2cccc(Cl)c2Cl)nc(Nc2cc[nH]n2)n1,591.5,3.2,162.08,10,5,13,4,3,0.44,40,no,0
49,CNC(=O)[C@H](C)Nc1nc(Nc2cc[nH]n2)nc(N2CCCC2c2cccc(C)c2)n1,421.51,2.53,123.75,7,4,10,4,3,0.38,31,no,0
53,CNC(=O)[C@H](C)Nc1nc(NCc2cc(F)cc(C(F)(F)F)c2)nc(Nc2cc[nH]n2)n1,453.4,2.65,132.54,8,5,10,3,3,0.28,32,no,0
54,CNC(=O)[C@H](C)Nc1nc(Nc2cc[nH]n2)nc(N2CCCC2c2ccccc2OC)n1,437.51,2.23,132.98,8,4,11,4,3,0.38,32,no,0
55,CNC(=O)[C@H](C)Nc1nc(NCc2cccc(Cl)c2F)nc(Nc2cc[nH]n2)n1,419.85,2.29,132.54,8,5,10,3,3,0.24,29,no,0
62,CNC(=O)[C@H](C)Nc1nc(NCCc2cccc(Cl)c2)nc(Nc2cc[nH]n2)n1,415.89,2.19,132.54,9,5,10,3,3,0.28,29,no,0
66,CNC(=O)[C@H](C)Nc1nc(Nc2cc(C(C)C)n[nH]2)nc(N2CCN(Cc3cccc(C)c3)CC2)n1,492.63,2.64,126.99,9,4,11,4,3,0.48,36,no,0
68,CCc1ccc(CN(C)c2nc(Nc3cc(C(C)C)n[nH]3)nc(N[C@@H](C)C(=O)NC)n2)cc1,451.58,3.21,123.75,10,4,10,3,3,0.43,33,no,0
74,CNC(=O)[C@H]1[C@@H](C)OC(C)(C)N1C(=O)[C@H](C)Nc1nc(NCc2cccc(OC(F)F)c2)nc(Nc2cc(C(C)C)n[nH]2)n1,616.67,3.57,171.31,12,5,14,4,3,0.5,44,no,0
78,CNC(=O)[C@H](C)Nc1nc(Nc2cc(C(C)C)n[nH]2)nc(N2CCCC2c2cccc(OC)c2)n1,479.59,3.36,132.98,9,4,11,4,3,0.46,35,no,0
79,CNC(=O)[C@H](C)Nc1nc(NCc2ccc(C)c(Cl)c2)nc(Nc2cc(C(C)C)n[nH]2)n1,457.97,3.58,132.54,9,5,10,3,3,0.38,32,no,0
83,CNC(=O)[C@H](C)Nc1nc(NCCN2CC(C)OC(C)C2)nc(Nc2cc(C)n[nH]2)n1,432.53,0.71,145.01,9,5,12,3,2,0.63,31,no,0
87,CCCCC(CC)CNc1nc(Nc2cc(C)n[nH]2)nc(N[C@@H](C)C(=O)NC)n1,403.54,2.82,132.54,12,5,10,2,2,0.63,29,no,0
88,CNC(=O)[C@H]1[C@@H](C)OC(C)(C)N1C(=O)[C@H](C)Nc1nc(NCCOc2ccccc2)nc(Nc2cc(C)n[nH]2)n1,552.64,2.04,171.31,11,5,14,4,3,0.46,40,yes,1
92,CNC(=O)[C@H](C)Nc1nc(Nc2cc(C)n[nH]2)nc(N(C)Cc2cccc(Br)c2)n1,474.37,2.59,123.75,8,4,10,3,3,0.32,30,no,0
105,CNC(=O)[C@H](C)Nc1nc(NCc2ccccc2OC(F)F)nc(Nc2cc(C)n[nH]2)n1,447.45,2.41,141.77,10,5,11,3,3,0.32,32,no,0
110,CNC(=O)[C@H](C)Nc1nc(Nc2cc(C)n[nH]2)nc(Nc2cc(S(C)(=O)=O)ccc2F)n1,463.5,1.48,166.68,8,5,12,3,3,0.28,32,no,0
113,CNC(=O)[C@H](C)Nc1nc(NCCc2cccc(Cl)c2Cl)nc(Nc2cc(C)n[nH]2)n1,464.36,3.15,132.54,9,5,10,3,3,0.32,31,no,0
120,CNC(=O)[C@H](C)Nc1nc(Nc2cc(C)n[nH]2)nc(N2CCSc3ccccc32)n1,425.52,2.44,123.75,6,4,10,4,3,0.32,30,no,0
124,CNC(=O)[C@H](C)Nc1nc(NCC2CCCCC2)nc(Nc2cc(C)n[nH]2)n1,387.49,2.19,132.54,8,5,10,3,2,0.61,28,no,0
129,CNC(=O)[C@H](C)Nc1nc(NCc2cc(C)cc(F)c2)nc(Nc2cc(C)n[nH]2)n1,413.46,2.25,132.54,8,5,10,3,3,0.32,30,no,0
134,CNC(=O)[C@H](C)Nc1nc(Nc2cc(C)n[nH]2)nc(N[C@H](C)c2ccc(Br)cc2)n1,474.37,3.13,132.54,8,5,10,3,3,0.32,30,no,0
135,CNC(=O)[C@H](C)Nc1nc(NCCc2ccc(C)c(C)c2)nc(Nc2cc(C)n[nH]2)n1,423.53,2.46,132.54,9,5,10,3,3,0.38,31,no,0
139,CCOc1cccc(Nc2nc(Nc3cc(C)n[nH]3)nc(N[C@@H](C)C(=O)NC)n2)c1,411.47,2.34,141.77,9,5,11,3,3,0.32,30,no,0
141,C=CCCCNc1nc(Nc2cc(C)n[nH]2)nc(N[C@@H](C)C(=O)N2[C@@H](C(=O)NC)[C@@H](C)OC2(C)C)n1,500.61,1.92,162.08,11,5,13,3,2,0.57,36,no,0
147,CNC(=O)[C@H](C)Nc1nc(NCc2cccc(OC(F)(F)F)c2)nc(Nc2cc(C)n[nH]2)n1,465.44,2.7,141.77,9,5,11,3,3,0.32,33,no,0
152,CNC(=O)[C@H](C)Nc1nc(Nc2cc(C)n[nH]2)nc(N2CCC(C(C)C)CC2)n1,401.52,2.07,123.75,7,4,10,3,2,0.63,29,yes,1
